Ability Name,URL
...And Evil Turned Away from the Sun,https://pillarsofeternity.fandom.com/wiki/...And_Evil_Turned_Away_from_the_Sun
...And Face Your Foes,https://pillarsofeternity.fandom.com/wiki/...And_Face_Your_Foes
...And Sip from the Marrow.,https://pillarsofeternity.fandom.com/wiki/...And_Sip_from_the_Marrow.
...And Their Fear Followed Them into the Foothills,https://pillarsofeternity.fandom.com/wiki/...And_Their_Fear_Followed_Them_into_the_Foothills
...and Their Screams Reached The Heavens,https://pillarsofeternity.fandom.com/wiki/...and_Their_Screams_Reached_The_Heavens
...and Their Screams Reached The Heavens (Beckoner),https://pillarsofeternity.fandom.com/wiki/...and_Their_Screams_Reached_The_Heavens_(Beckoner)
...Each Kill Fed His Fury,https://pillarsofeternity.fandom.com/wiki/...Each_Kill_Fed_His_Fury
...For They Do Enjoy Stomping Your Head,https://pillarsofeternity.fandom.com/wiki/...For_They_Do_Enjoy_Stomping_Your_Head
...For They Do Enjoy Stomping Your Head (Beckoner),https://pillarsofeternity.fandom.com/wiki/...For_They_Do_Enjoy_Stomping_Your_Head_(Beckoner)
...Its Crash Could Not Be Denied,https://pillarsofeternity.fandom.com/wiki/...Its_Crash_Could_Not_Be_Denied
"...Nor Flame, Nor Thrusted Blade","https://pillarsofeternity.fandom.com/wiki/...Nor_Flame,_Nor_Thrusted_Blade"
A Cool Wind Washed Over the Tribe,https://pillarsofeternity.fandom.com/wiki/A_Cool_Wind_Washed_Over_the_Tribe
A Great Gale Tore the Village Apart,https://pillarsofeternity.fandom.com/wiki/A_Great_Gale_Tore_the_Village_Apart
Abducting Beyond,https://pillarsofeternity.fandom.com/wiki/Abducting_Beyond
Abduction,https://pillarsofeternity.fandom.com/wiki/Abduction
Abjuration (Deadfire),https://pillarsofeternity.fandom.com/wiki/Abjuration_(Deadfire)
Absorb Essence (Celestial Spectre),https://pillarsofeternity.fandom.com/wiki/Absorb_Essence_(Celestial_Spectre)
Absorb Essence (Soul Collector),https://pillarsofeternity.fandom.com/wiki/Absorb_Essence_(Soul_Collector)
Accurate Wounding Shot (Deadfire),https://pillarsofeternity.fandom.com/wiki/Accurate_Wounding_Shot_(Deadfire)
Adrenaline Rush,https://pillarsofeternity.fandom.com/wiki/Adrenaline_Rush
Afraid,https://pillarsofeternity.fandom.com/wiki/Afraid
Amplified Thrust (Deadfire),https://pillarsofeternity.fandom.com/wiki/Amplified_Thrust_(Deadfire)
Amplified Wave (Deadfire),https://pillarsofeternity.fandom.com/wiki/Amplified_Wave_(Deadfire)
Ancestor's Memory,https://pillarsofeternity.fandom.com/wiki/Ancestor%27s_Memory
Ancient Bellow,https://pillarsofeternity.fandom.com/wiki/Ancient_Bellow
Ancient Brittle Bones,https://pillarsofeternity.fandom.com/wiki/Ancient_Brittle_Bones
Ancient Brittle Bones (Beckoner),https://pillarsofeternity.fandom.com/wiki/Ancient_Brittle_Bones_(Beckoner)
And Hel-Hyraf Crashed Upon The Shield (Deadfire),https://pillarsofeternity.fandom.com/wiki/And_Hel-Hyraf_Crashed_Upon_The_Shield_(Deadfire)
"And with Furious Vengeance, Drove Her Dagger into His Heart","https://pillarsofeternity.fandom.com/wiki/And_with_Furious_Vengeance,_Drove_Her_Dagger_into_His_Heart"
Anima Burn,https://pillarsofeternity.fandom.com/wiki/Anima_Burn
Anima Cloud,https://pillarsofeternity.fandom.com/wiki/Anima_Cloud
Anima Wall,https://pillarsofeternity.fandom.com/wiki/Anima_Wall
Anima Ward,https://pillarsofeternity.fandom.com/wiki/Anima_Ward
Antelope Companion (Ghost Heart),https://pillarsofeternity.fandom.com/wiki/Antelope_Companion_(Ghost_Heart)
Antipathetic Field (Deadfire),https://pillarsofeternity.fandom.com/wiki/Antipathetic_Field_(Deadfire)
Aquatic Breath,https://pillarsofeternity.fandom.com/wiki/Aquatic_Breath
Arc of Flame,https://pillarsofeternity.fandom.com/wiki/Arc_of_Flame
Arcane Assault (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arcane_Assault_(Deadfire)
Arcane Calamity,https://pillarsofeternity.fandom.com/wiki/Arcane_Calamity
Arcane Cleanse,https://pillarsofeternity.fandom.com/wiki/Arcane_Cleanse
Arcane Dampener (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arcane_Dampener_(Deadfire)
Arcane Reflection (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arcane_Reflection_(Deadfire)
Arcane Veil (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arcane_Veil_(Deadfire)
Arcane Veil (Priest of Wael),https://pillarsofeternity.fandom.com/wiki/Arcane_Veil_(Priest_of_Wael)
Arcane Ward,https://pillarsofeternity.fandom.com/wiki/Arcane_Ward
Archmage's Anger,https://pillarsofeternity.fandom.com/wiki/Archmage%27s_Anger
Arctic Fog,https://pillarsofeternity.fandom.com/wiki/Arctic_Fog
Arduous Delay of Motion (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arduous_Delay_of_Motion_(Deadfire)
Arkemyr's Brilliant Departure,https://pillarsofeternity.fandom.com/wiki/Arkemyr%27s_Brilliant_Departure
Arkemyr's Capricious Hex (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arkemyr%27s_Capricious_Hex_(Deadfire)
Arkemyr's Dazzling Lights (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arkemyr%27s_Dazzling_Lights_(Deadfire)
Arkemyr's Dazzling Lights (Trickster),https://pillarsofeternity.fandom.com/wiki/Arkemyr%27s_Dazzling_Lights_(Trickster)
Arkemyr's Mercurial Madness,https://pillarsofeternity.fandom.com/wiki/Arkemyr%27s_Mercurial_Madness
Arkemyr's Wondrous Torment (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arkemyr%27s_Wondrous_Torment_(Deadfire)
