Ability Name,URL
A Soul's Echo,https://pillarsofeternity.fandom.com/wiki/A_Soul%27s_Echo
Abomination,https://pillarsofeternity.fandom.com/wiki/Abomination
Accurate Carnage (Deadfire),https://pillarsofeternity.fandom.com/wiki/Accurate_Carnage_(Deadfire)
Accurate Empower,https://pillarsofeternity.fandom.com/wiki/Accurate_Empower
Acid Shield,https://pillarsofeternity.fandom.com/wiki/Acid_Shield
Adaptive,https://pillarsofeternity.fandom.com/wiki/Adaptive
Adept Evasion (Deadfire),https://pillarsofeternity.fandom.com/wiki/Adept_Evasion_(Deadfire)
Aefyllath Ues Mith Fyr (Deadfire),https://pillarsofeternity.fandom.com/wiki/Aefyllath_Ues_Mith_Fyr_(Deadfire)
Aegis of Loyalty (Deadfire),https://pillarsofeternity.fandom.com/wiki/Aegis_of_Loyalty_(Deadfire)
Agile Mind,https://pillarsofeternity.fandom.com/wiki/Agile_Mind
Alchemist's Cache,https://pillarsofeternity.fandom.com/wiki/Alchemist%27s_Cache
Among the Waves,https://pillarsofeternity.fandom.com/wiki/Among_the_Waves
Ancient Memory (Deadfire),https://pillarsofeternity.fandom.com/wiki/Ancient_Memory_(Deadfire)
Antelope Companion (Deadfire),https://pillarsofeternity.fandom.com/wiki/Antelope_Companion_(Deadfire)
Antelope Defenses (Deadfire),https://pillarsofeternity.fandom.com/wiki/Antelope_Defenses_(Deadfire)
Apex Predator,https://pillarsofeternity.fandom.com/wiki/Apex_Predator
Arcane Archer (passive),https://pillarsofeternity.fandom.com/wiki/Arcane_Archer_(passive)
Armored Grace (Deadfire),https://pillarsofeternity.fandom.com/wiki/Armored_Grace_(Deadfire)
Arms Bearer (Deadfire),https://pillarsofeternity.fandom.com/wiki/Arms_Bearer_(Deadfire)
Ascendant (passive),https://pillarsofeternity.fandom.com/wiki/Ascendant_(passive)
Ascended,https://pillarsofeternity.fandom.com/wiki/Ascended
Ashen Skin,https://pillarsofeternity.fandom.com/wiki/Ashen_Skin
Aspect of the Boar,https://pillarsofeternity.fandom.com/wiki/Aspect_of_the_Boar
Assassin (passive),https://pillarsofeternity.fandom.com/wiki/Assassin_(passive)
Assassinate,https://pillarsofeternity.fandom.com/wiki/Assassinate
"At the Sight of their Comrades, their Hearts Grew Bold (Deadfire)","https://pillarsofeternity.fandom.com/wiki/At_the_Sight_of_their_Comrades,_their_Hearts_Grew_Bold_(Deadfire)"
Attempted Parley,https://pillarsofeternity.fandom.com/wiki/Attempted_Parley
Backstab (Deadfire),https://pillarsofeternity.fandom.com/wiki/Backstab_(Deadfire)
Barbaric Retaliation (Deadfire),https://pillarsofeternity.fandom.com/wiki/Barbaric_Retaliation_(Deadfire)
Battle-Forged (Deadfire),https://pillarsofeternity.fandom.com/wiki/Battle-Forged_(Deadfire)
Bear Companion (Deadfire),https://pillarsofeternity.fandom.com/wiki/Bear_Companion_(Deadfire)
Bear's Fortitude (Deadfire),https://pillarsofeternity.fandom.com/wiki/Bear%27s_Fortitude_(Deadfire)
Beast of Winter (ability),https://pillarsofeternity.fandom.com/wiki/Beast_of_Winter_(ability)
Befuddled by the Forgotten,https://pillarsofeternity.fandom.com/wiki/Befuddled_by_the_Forgotten
Beguiler (passive),https://pillarsofeternity.fandom.com/wiki/Beguiler_(passive)
Berath's Blessing - Bonus Skills,https://pillarsofeternity.fandom.com/wiki/Berath%27s_Blessing_-_Bonus_Skills
Berath's Blessing - Champion Stats,https://pillarsofeternity.fandom.com/wiki/Berath%27s_Blessing_-_Champion_Stats
Berath's Blessing - Power Level Bonus,https://pillarsofeternity.fandom.com/wiki/Berath%27s_Blessing_-_Power_Level_Bonus
Berath's Gift,https://pillarsofeternity.fandom.com/wiki/Berath%27s_Gift
Berath's Veil,https://pillarsofeternity.fandom.com/wiki/Berath%27s_Veil
Berath's Veil (Prevent Death),https://pillarsofeternity.fandom.com/wiki/Berath%27s_Veil_(Prevent_Death)
Bird Companion,https://pillarsofeternity.fandom.com/wiki/Bird_Companion
Bird Companion (Maia Rua),https://pillarsofeternity.fandom.com/wiki/Bird_Companion_(Maia_Rua)
Bird Engagement Immunity,https://pillarsofeternity.fandom.com/wiki/Bird_Engagement_Immunity
Biting Whip (Ascendant),https://pillarsofeternity.fandom.com/wiki/Biting_Whip_(Ascendant)
Biting Whip (Beguiler),https://pillarsofeternity.fandom.com/wiki/Biting_Whip_(Beguiler)
Biting Whip (Deadfire),https://pillarsofeternity.fandom.com/wiki/Biting_Whip_(Deadfire)
